code insee,ville,code postal,latitude,longitude,pays
10227,MAROLLES SOUS LIGNIERES,10130,48.0520003827, 3.93246550297,FR
10166,LES GRANDES CHAPELLES,10170,48.4916267047, 3.93350100384,FR
10232,MERREY SUR ARCE,10110,48.1160220302, 4.43093259336,FR
10182,JUVANCOURT,10310,48.1567685845, 4.79470021531,FR
10190,LAUBRESSEL,10270,48.2596266125, 4.24959642717,FR
10173,ISLE AUMONT,10800,48.2055801821, 4.1125140322,FR
10196,LIGNIERES,10130,48.0520003827, 3.93246550297,FR
10230,MERGEY,10600,48.3767482025, 3.98875459714,FR
10212,MACHY,10320,48.1632184055, 4.02059815423,FR
11111,CRUSCADES,11200,43.1662010238, 2.78892059953,FR
11112,CUBIERES SUR CINOBLE,11190,42.9166610889, 2.34707884311,FR
11113,CUCUGNAN,11350,42.8796650781, 2.66522654176,FR
11121,DONAZAC,11240,43.1188469018, 2.06671991119,FR
11133,FAJAC EN VAL,11220,43.0809470716, 2.59145854442,FR
11142,FESTES ET ST ANDRE,11300,43.0486403902, 2.18021479284,FR
11147,FONTANES DE SAULT,11140,42.7657925357, 2.16672255446,FR
11148,FONTCOUVERTE,11700,43.2164263433, 2.63518086038,FR
11152,FONTJONCOUSE,11360,42.9848553966, 2.7967793394,FR
11160,GALINAGUES,11140,42.7657925357, 2.16672255446,FR
11162,GENERVILLE,11270,43.1822151687, 1.96656505821,FR
11164,GINESTAS,11120,43.2793720392, 2.88392060651,FR
11169,GREFFEIL,11250,43.0946347739, 2.34321262347,FR
11170,GRUISSAN,11430,43.1033671547, 3.08203415117,FR
11172,HOMPS,11200,43.1662010238, 2.78892059953,FR
11175,ISSEL,11400,43.3333084343, 1.97819883163,FR
11177,JOUCOU,11140,42.7657925357, 2.16672255446,FR
11180,LABASTIDE ESPARBAIRENQUE,11380,43.3945963595, 2.38722889335,FR
11182,LACOMBE,11310,43.3722409402, 2.17410983728,FR
11185,LAGRASSE,11220,43.0809470716, 2.59145854442,FR
11189,LAPRADE,11390,43.3925599417, 2.2792029886,FR
11190,LA REDORTE,11700,43.2164263433, 2.63518086038,FR
11192,LASBORDES,11400,43.3333084343, 1.97819883163,FR
11196,LAURAC,11270,43.1822151687, 1.96656505821,FR
11202,LEUCATE,11370,42.8990754596, 3.02622378383,FR
11212,MAILHAC,11120,43.2793720392, 2.88392060651,FR
11226,MAYREVILLE,11420,43.2067830751, 1.79388571157,FR
11230,MERIAL,11140,42.7657925357, 2.16672255446,FR
11241,MONTBRUN DES CORBIERES,11700,43.2164263433, 2.63518086038,FR
11242,MONTCLAR,11250,43.0946347739, 2.34321262347,FR
11246,MONTGRADAIL,11240,43.1188469018, 2.06671991119,FR
11247,MONTHAUT,11240,43.1188469018, 2.06671991119,FR
11251,MONTLAUR,11220,43.0809470716, 2.59145854442,FR
11255,MONTREDON DES CORBIERES,11100,43.1614428329, 3.00768633064,FR
11260,MOUTHOUMET,11330,42.9592043622, 2.54502712372,FR
11264,NEVIAN,11200,43.1662010238, 2.78892059953,FR
11270,PADERN,11350,42.8796650781, 2.66522654176,FR
11279,PENNAUTIER,11610,43.2600787186, 2.30202617457,FR
11283,PEYREFITTE SUR L HERS,11420,43.2067830751, 1.79388571157,FR
11285,PEYRIAC DE MER,11440,43.0899544333, 2.94880546616,FR
11288,PEZENS,11170,43.2815047945, 2.19442534937,FR
11293,POMAS,11250,43.0946347739, 2.34321262347,FR
11297,PRADELLES CABARDES,11380,43.3945963595, 2.38722889335,FR
11298,PRADELLES EN VAL,11220,43.0809470716, 2.59145854442,FR
11299,PREIXAN,11250,43.0946347739, 2.34321262347,FR
11314,RIEUX EN VAL,11220,43.0809470716, 2.59145854442,FR
11318,ROQUECOURBE MINERVOIS,11700,43.2164263433, 2.63518086038,FR
11320,ROQUEFEUIL,11340,42.8370630944, 1.98179772961,FR
11321,ROQUEFORT DE SAULT,11140,42.7657925357, 2.16672255446,FR
11335,STE COLOMBE SUR GUETTE,11140,42.7657925357, 2.16672255446,FR
11338,ST COUAT DU RAZES,11300,43.0486403902, 2.18021479284,FR
11351,ST LAURENT DE LA CABRERISSE,11220,43.0809470716, 2.59145854442,FR
11361,ST PAPOUL,11400,43.3333084343, 1.97819883163,FR
11367,SAISSAC,11310,43.3722409402, 2.17410983728,FR
11385,SOUPEX,11320,43.3837467528, 1.85528043392,FR
11397,TREBES,11800,43.2182954878, 2.49172141797,FR
11400,TREZIERS,11230,42.9737220665, 2.02689573941,FR
11412,VILLARDEBELLE,11580,43.0019735527, 2.32970366921,FR
11417,VILLARZEL DU RAZES,11300,43.0486403902, 2.18021479284,FR
11429,VILLEMOUSTAUSSOU,11620,43.2496570838, 2.3662986021,FR
11431,VILLENEUVE LES CORBIERES,11360,42.9848553966, 2.7967793394,FR
11432,VILLENEUVE LES MONTREAL,11290,43.1943746552, 2.18782678941,FR
11434,VILLEPINTE,11150,43.2498711617, 2.06462165287,FR
12002,AGUESSAC,12520,44.1968259654, 3.06387030498,FR
12018,BALAGUIER D OLT,12260,44.458873555, 1.98297177766,FR
12023,LA BASTIDE SOLAGES,12550,43.9452392779, 2.61731670514,FR
12025,BELMONT SUR RANCE,12370,43.8037612905, 2.74262599071,FR
12029,BOR ET BAR,12270,44.2133464767, 2.02193088766,FR
12036,BROMMAT,12600,44.8341310228, 2.67664580865,FR
12037,BROQUIES,12480,43.9974313835, 2.69341373502,FR
12053,LA CAPELLE BALAGUIER,12260,44.458873555, 1.98297177766,FR
12067,LE CLAPIER,12540,43.8787455208, 3.14987374669,FR
12073,COMPS LA GRAND VILLE,12120,44.1738899788, 2.54748951823,FR
12084,CREISSELS,12100,44.0898281066, 3.10621950967,FR
12094,ENTRAYGUES SUR TRUYERE,12140,44.6558037135, 2.58164635516,FR
12099,FAYET,12360,43.7904240706, 2.95795996186,FR
12100,FIRMI,12300,44.5947922935, 2.27515362111,FR
12108,GALGAN,12220,44.4874742078, 2.20156153334,FR
12109,GISSAC,12360,43.7904240706, 2.95795996186,FR
12110,GOLINHAC,12140,44.6558037135, 2.58164635516,FR
12127,LEDERGUES,12170,44.0745006665, 2.51889903328,FR
12129,LESTRADE ET THOUELS,12430,44.0864778708, 2.70135704539,FR
12144,MELJAC,12120,44.1738899788, 2.54748951823,FR
12145,MILLAU,12100,44.0898281066, 3.10621950967,FR
11053,BRUGAIROLLES,11300,43.0486403902, 2.18021479284,FR
11056,CABRESPINE,11160,43.3459989767, 2.52081672381,FR
11073,CASSAIGNES,11190,42.9166610889, 2.34707884311,FR
11046,BOURIGEOLE,11300,43.0486403902, 2.18021479284,FR
